ID	Adres	Soort	Datum	Omschrijving	Foto	COORDS	longitude	latitude
88	Orionplantsoen 2	Luchtaanval	11/10/1940	Bominslag. Ruiten defect. 6.00 Rapporteert de B.P. Elleling dat te plm. 4.30 in het Tuindorp Oostzaan o.a. in de Maanstraat (rijweg)Planetenplein (plein) Orionplantsoen (voor school) Meteorenweg hoek Zonneweg en Vegastraat(achter perceel 74) Door een verm. Engelsch vliegtuig bommen zijn afgeworpen. Op verschillende plaatsen hier boven genoemd vielen dooden en gewonden. Namen zijn nog niet bekend. Volgens opgaaf zouden er 4 dooden zijn en 7 zwaargewonden.  Alle gewonden en dooden zijn naar het Binnengasthuis vervoerd.  Verder zijn in de Hamerstraat bij de firma Beijders, in een garage en op de Draad- en kabelfabriek brandbommen geworpen, er ontstond geen brand.  Te plm. 5 uur werden op perceel Adelaarsweg 28 en 79 bommen geworpen hier werden 5 gewonden geborgen. Eveneens viel een of meer bommen in de Putterstraat 13 en 15. Hier werden ook eenige bewoners gewond, terwijl ernstige schade aan de woningen werd toegebracht. Alle Diensten gewaarschuwd. 3.00 In verband met de mutatie sub. 6uur van het rapport de datum 11 oktober 1940, rapporteerden de rechs.  Glas en Mettes, dat bommen uit een onbekend gebleven vliegtuig, in de afgeloopen nacht zijn ingeslagen in de onmiddellijke nabijheid van een aantal woningen en dat dezer woningen hierbij geheel zijn vernield. 1. De percelen Adelaarsweg 78 en 79 werden geheel verwoest. Hierbij werden onmiddellijk gedood. Jacobus Johannes Bergmans, oud 24 jaar, en Pieter Bergmans, oud 14 jaar, beide gewoond hebbende Adelaarsweg 78 boven, terwijl de moeder E. Hogewout zwaar gewond is opgenomen in het Juliana ziekenhuis alhier. De bewoners van de andere perceelen  bekwamen geen letsel. 2. Een bom sloeg in achter de perceelen Putterstraat 9, 11 en 13. Ten gevolge van de ontploffing werden die woningen alsmede de aangrenzende woningen aan de achterzijde geheel  vernield. Voorts zijn een groot aantal ruiten van de omliggende perceelen vernield. Hierbij werden ernstig gewond. D. F.W. Alberts, oud 34 jaar, Zwanenplein 27. Hij is opgenomen in het Wilhelmina Gasthuis. Verder J. van der Steen, oud 26 jaar, wonende Putterstraat 13 huis en den heer C. Stracke, oud 78 jaar, Putterstraat 9, welke beide laatsten zijn opgenomen in het Binnen-Gasthuis. Licht gewond werden een groot aantal bewoners, die echter na behandeld te zijn, naar huis werden gezonden. 3. In het Volewijkspark kwam een bom terecht., welke vermoedelijk niet is ontploft en onder bewaking is gesteld. Aan den Buiksloterweg, in den grasberm tegenover 111, aan de waterzijde een bom is geëxplodeerd, terwijl in de Hamerstraat bij de firma rijnders Meeuwenlaan 100 en bij de Holl. Draad en Kabelfabriek brandbommen zijn neergekomen zonder schade aan te richten, en zonder persoonlijke ongelukken. 4. Het perceel Planetenplein nummer 1 werd door een bom getroffen. Welke bom echter niet is geëxplodeerd. (weggehaald 29 okt. 1940) 5. Op het Planetenplein kwamen drie bommen terecht, welke allen explodeerden. 6. In het plantsoen van het Orionplantsoen viel een bom, welke is geëxplodeerd. 7. In de tuinen achter de perceelen Orionplantsoen 13 tot 21 en Maanstraat 13 tot 21 viel een bom, welke niet is geëxplodeerd 8. In de Maanstraat voor de perceelen 14 tot 18 viel een bom, welke is geexplodeerd. 9. Achter de perceelen Richelstraat 35 en Meteorenweg 28 viel een bom, welke is geëxplodeerd. 10. Op den Meteorenweg, hoek nieuwe zonneweg viel een bom, welke is welke is geëxplodeerd. 11. Achter de perceelen Vegastraat 68 en Meteoremweg 55 viel een bom, welke is geëxplodeerd. 12. Achter het perceel Orionstraat 68 viel een bom, welke is geëxplodeerd.  Tengevolge van de vorengemelde bominslagen kwamen de volgende personen om het leven, namelijk. Jan Engel, geboren te oostzaan, 15 augustus 1891, gewoond hebbende Planetenplein 3 alhier. Jacob Jacobus Westbroek, geboren 24 november 1911, gewoond hebbende Plejadeweg 29 alhier. Adrianus theodorus woudenberg, geboren 25 juli 1895 te amsterdam, gewoond hebbende Groote Beerstraat 40 alhier en Neeltje Elisabeth Boer, geboren 25 oktober 1904, gehuwd met G. Heykoop, gewoond hebbende Planetenplein 12 alhier, alsmede Cornelia Christina Louisa Verheyen, geboren 28 januari 1900 te Amsterdam, gehuwd met S.J. Hessels, gewoond hebbende Planetenplein 10 alhier Ernstig gewond werden de volgende personen, namelijk. Hendricus Johannes van Leersum, geboren 4 december 1894 te Amsterdam beroepsbrandwacht, wonende zaanstraat 61 driehaaog alhier.  Johannes martinus Voigt, geboren 21 januari 1906, wonende Aldebaranstraat 20 alhier. Peter de Roo, geboren 3 februari 1900, wonende Groote Beerstraat 18 alhier. C. Kes, 40 jaar, wonende Ansjovisstraat 17 te Volendam. Eefje Engel, geboren 28 juni 1924 te Amsterdam, wonende Planetenplein 3 alhier. Zij zijn ter verpleging in een der Gasthuizen opgenomen. Voorts werdenverschillende personen verwond, welke verwondingen meer of minder ernstig zijn.  Alsnog is gebleken dat willem Monteban, geboren 11 december 1908 te Nieuw Lekkerland, gewoond hebbende Meteorensingel 46 huis, tengevolge van de vorenvermelde bominslagen is overleden. In de omgeving waar de bominslagen hebben plaatsgehad, bekwamen de respctievelijke woningen enorme schade, tengevolge waarvan een groot aantal woningen niet meer bewoonbaar waren en de bewoners bij anderen een onderkomen hebben moeten zoeken. De H.I.P. Keiser , chef van de eerste sectie heeft persoonlijk een onderzoek ingesteld.		POINT(4.886931 52.413037)	4,886931	52,413037
89	Zonneweg 2	Bom, granaat, afweergeschut	11/10/1940	Huis door bom getroffen		POINT(4.889138 52.411527)	4,889138	52,411527
90	Vegastraat 74	Bom, granaat, afweergeschut	11/10/1940	Bominslag?		POINT(4.888839 52.410699)	4,888839	52,410699
91	Hamerstraat 2	Bom, granaat, afweergeschut	11/10/1940	Brand, veroorzaakt door brandbommen		POINT(4.922731 52.383883)	4,922731	52,383883
92	Adelaarsweg 79	Bom, granaat, afweergeschut	11/10/1940	Bominslag [Bij de bomaanvallen op de Adelaarsweg en de Putterstraat vielen 4 zwaargewonden en 6 lichtgewonden.]		POINT(4.917099 52.387321)	4,917099	52,387321
93	Putterstraat 13	Bom, granaat, afweergeschut	11/10/1940	Bominslag [Bij de bomaanvallen op de Adelaarsweg en de Putterstraat vielen 4 zwaargewonden en 6 lichtgewonden.]		POINT(4.917635 52.386613)	4,917635	52,386613
94	Oosterdokskade 6	Bom, granaat, afweergeschut	12/10/1940	1 bom, 7 gewonden. 2.05 Rapp. De BP. Nijdam dat te pm. 12.1 een 3 tal bommen zijn terecht gekomen, 1e op brug Prins Hendrikkade voor Scheepvaarthuis, 2e Op Oosterdokskade (walglooiing) en 3e in het water van het open Havenfront aldaar nabij motorschip `Grietje`. 1e bom vernielde wegdek en brugleuning aan IJ-zijde. 2e bom sloeg een gat in de glooiing van de oosterdokskade, terwijl de scherven van bom 3, het motorschip `Grietje` beschadigde en brand veroorzaakte, doordat een van olie werd geraakt en de olie brandend over het dek van het schip vloeide. Deze brand werd terstond gebluscht door eenige aps. Zoodat de brandweer niet behoefde op te treden. Op genoemde schip werd, Klaas Engel, 38 jaar, schipper op genoemd schip, gewond aan zijn rechterhand, zijn echtgenoote Grietje  Engel-Kramer, 37 jr. werd gewond rechter dijbeen en rechter onderarm, beide zijn door de G.G. en G.D. naar B-Gasthuis vervoerd. De vrouw is ter verpleging opgenomen, de man is na behandeling heengezonden. De kinderen van voornoemde echtpaar zijn ondergebracht bij Schenk, Lastageweg 1-3hoog, te weten 2 meisje resp. 1,5 en 9 jaar, terwijl 2 andere kinderen bij schipper k. Gort, schip IJselstroom, liggende aan de oosterdokskade zijn ondergebracht. Geld en waardevolle papieren zijn op verzoek van Engel aan Schipper Gort in bewaring gegeven.  De kinderen hadden geen noemenswaardig letsel bekomen, en ook zijn knecht, Mirinus hutte, 25 jaar bekwam geen letsel.  Krommewaal en P.H. Kade werden zeer veel ruiten verbrijzeld. Voorloopig wordt er toezicht gehouden. Tot nader onderzoek bij daglicht.		POINT(4.906589 52.375703)	4,906589	52,375703
95	Oosterdokskade 121	Bom, granaat, afweergeschut	12/10/1940	1 bom		POINT(4.90735 52.375949)	4,90735	52,375949
96	Prins Hendrikkade 98	Bom, granaat, afweergeschut	12/10/1940	1 bom. Brugleuningen beschadigd. Veel ruiten beschadigd op Prins Hendrikkade en Kromme Waal. 1 gewonde.		POINT(4.902917 52.37585)	4,902917	52,37585
97	Jan Lievensstraat 72	Bom, granaat, afweergeschut	13/10/1940	Brisantbom. Huis zwaar beschadigd. 7 lichtgewonden.		POINT(4.904862 52.349551)	4,904862	52,349551
98	Cornelis Springerstraat 35	Bom, granaat, afweergeschut	13/10/1940	Brisantbom. Huis zwaar beschadigd. Enkele lichtgewonden.		POINT(4.902248 52.349702)	4,902248	52,349702
99	Borssenburgplein 2	Bom, granaat, afweergeschut	13/10/1940	Brisantbom. Veel ruiten verwoest. 1 lichtgewonde 		POINT(4.90698 52.349101)	4,90698	52,349101
100	Noordhollandschkanaaldijk 21	Bom, granaat, afweergeschut	13/10/1940	4 brisantbommen. 1 bom op een schip, dat gezonken is, 1 bom in het water, 2 in de wei		POINT(4.923211 52.402606)	4,923211	52,402606
101	Meteorenweg 120	Bom, granaat, afweergeschut	13/10/1940	Niet-ontplofte bom van twee dagen eerder vanzelf geëxplodeerd. Scheuren in de huizen aan Meteorenweg 120 en 148		POINT(4.888622 52.411696)	4,888622	52,411696
102	Sumatrakade 105	Bom, granaat, afweergeschut	16/10/1940	Brandbom in het water		POINT(4.934881 52.377809)	4,934881	52,377809
103	Oudeschans 8	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Kleine brand, meteen geblust		POINT(4.905234 52.372057)	4,905234	52,372057
104	Zwanenburgwal 7	Bom, granaat, afweergeschut	16/10/1940	1 brandbom op motorschip De Dollar. 1 brandbom in het water naast het schip. Door het dek geslagen. Rapporteert N.I.P. Kater, afdeelingschef dat hedennacht te circa 1 uur verschillende in deze sectie aanwezige woonhuizen door brandbommen werden getroffen. Te weten: 1. Door het dak van perceel Rapenburg 7, bewoond door Lavefre, oud 41 jaar, kwam een bom en ontstond een gat in het plafond van de 2e verdieping, waardoor een kleine brand ontstond. 2. In perceel `s-Gravenhekje 1, kwam een bom door het dak en kwam terecht in een pakhuis van Ryman-Stok en Kerseken, en werd aldaar gedoofd.  3. Door het dak van perceel rapenburg twee kwam een bom door het dak en kwam terecht in een meelpakhuis van gebroeders van Raamsdonk, wonende Staalkade 7 alhier. Drong zich in het meel en werd gedoofd. 4. Een bom kwam door het dak van perceel Nieuwe Uilenburgerstraat 18, bewoond door Isaac Gans, oud 33 jaar, leestenmaker. Maakte een gat in plafond van genoemde verdieping, waardoor een kleine brand ontstond. 5. Door het dak van perceel Oude Schans 5, waarvan de bovenste verdieping wordt bewoond door J. P. Anderson kwam een brandbom, doch werd in een daar in een aanwezige hoop steenkolen gedoofd. Er ontstond geen brand. 6. Door het dak van perceel Oude Schans 9, waarvan de bovenste verdieping wordt bewoond door H. Kok, kwam eveneens een brandbom door het dak, terecht op een zolderkamertje, waardoor een opklapbed schade bekwam. Er ontstond geen brand. 7. Tevens kwam een brandbom terecht in de dakgoot  van perceel Oude Schans 3. Deze brandbom werd door de brandweer verwijderd. De bewoner van de bovenste verdieping is genaamd Wurms. 8. Het schip ?de Dollard? liggende tegenover perceel Oude Scans 7, bewoond door den eigenaar h. de Jong, oud 44 jaar, werd op de voorplecht door een brandbom getroffen. Deze bom sloeg door de voorplecht heen en kwam in het ruim terecht., waardoor het schip schade bekwam en water maakte. Het schip was ledig en was niet in gebruik. De Jonge heeft de scheur, of het ontstane gat opgestopt. 9. Groote schade werd aangericht aan een schip, beladen met oud ijzer, liggende in het water van de Zanenburgwal tegenover het Waterlooplein, eigenaar jozef F. Prenger. Op dit schip genaamd ?Zwerver III? kwam terecht verm. Een brisantbom. De voorzijde daarvan werd geheel vernield, terwijl stukken daarvan op de straat terecht kwamen. Van vele huizen in de onmiddellijke nabijheid daarvan, werden de glasruiten vernield,  Van de brandweer waren 5 wagens aanwezig, die op verschillende punten hun werkzaamheden verrichten. Van elk dier wagens werd een slang uitgelegd en en in enkele gevallen water gegeven, voor de ontstane kleine brandjes te blussen. Aanwezig waren ook de brandweerlieden van de Luchtbeschermingsdienst. Persoonlijke ongelukken vielen niet voor. De bewakingsdienst van de luchtbeschermingsdienst was eveneens ter plaatste en hadden op verschillende bedreigde plaatsen post gevat. Tenslotte zij nog vermeld, dat op het schip ?de Zwerver III? een inhoud had van 65 ton en de Dollard 105 ton.  De overblijfselen van de brandbommen, zijn door personeel van de luchtbeschermingsdienst, aan dit bureau gedeponeerd. Twee brandbommen sloegen door het houten  brugdek van de hulpbrug bij het `s-Gravenhekje, doch richtte geen schade aan.		POINT(4.901137 52.369353)	4,901137	52,369353
105	Nieuwe Uilenburgerstraat 3	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Kleine brand		POINT(4.907403 52.371123)	4,907403	52,371123
106	's-Gravenhekje 1	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Geen brand		POINT(4.907948 52.372275)	4,907948	52,372275
107	's-Gravenhekje 4	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Kleine brand, door de brandweer geblust		POINT(4.907524 52.372094)	4,907524	52,372094
108	's-Gravenhekje 10	Bom, granaat, afweergeschut	16/10/1940	2 brandbommen		POINT(4.906995 52.372128)	4,906995	52,372128
109	's-Gravenhekje 5	Bom, granaat, afweergeschut	16/10/1940	1 brandbom?		POINT(4.907422 52.372057)	4,907422	52,372057
110	's-Gravenhekje 1	Bom, granaat, afweergeschut	16/10/1940	1 brandbom?		POINT(4.907948 52.372275)	4,907948	52,372275
111	Oudeschans 5/II	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Geen brand		POINT(4.905987 52.371674)	4,905987	52,371674
112	Oudeschans 9/II	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Geen brand		POINT(4.906033 52.371503)	4,906033	52,371503
113	Oudeschans 3/II	Bom, granaat, afweergeschut	16/10/1940	1 brandbom. Geen brand		POINT(4.906208 52.371612)	4,906208	52,371612
114	Ringdijk 60	Bom, granaat, afweergeschut	16/10/1940	Brisantbom. Wei bij de Schagerlaan, 250 meter achter boerderij De Eenhoorn, Geen schade. Geen gewonden.		POINT(4.918837 52.350614)	4,918837	52,350614
115	Zwanenburgwal 17	Bom, granaat, afweergeschut	16/10/1940	Brisantbom op een pakschip liggend in het water van de Zwanenburgwal. Schip gezonken, veel ruiten in de omgeving ingeslagen. Geen gewonden.		POINT(4.899611 52.367909)	4,899611	52,367909
116	Maanstraat 45	Bom, granaat, afweergeschut	16/10/1940	Brisantbom.Bij politiepost. Politieonderofficier Takes raakte licht gewond, een politieagent zeer licht gewond		POINT(4.888512 52.413583)	4,888512	52,413583
117	Maanstraat 59	Bom, granaat, afweergeschut	16/10/1940	Brisantbom. Huis zwaar beschadigd		POINT(4.888611 52.41396)	4,888611	52,41396
118	Polluxplein 2	Bom, granaat, afweergeschut	16/10/1940	Brisantbom. Veel ruiten  ingeslagen en huizen beschadigd		POINT(4.888529 52.412109)	4,888529	52,412109
119	Sumatrakade 115	Bom, granaat, afweergeschut	16/10/1940	6 brandbommen. Geen schade. Geen gewonden.		POINT(4.93491 52.377846)	4,93491	52,377846
120	Nieuwe Hemweg 55	Bom, granaat, afweergeschut	03/01/1941	Bominslag. 1 man lichtgewond		POINT(4.826551 52.415544)	4,826551	52,415544
121	Ankerweg 16	Bom, granaat, afweergeschut	03/01/1941	6 bommen, waarvan 1 niet ontploft (ongeveer 150 meter van de Hemweg) Een gemaal en een aantal huizen beschadigd. Een paard gedood.		POINT(4.835396 52.41581)	4,835396	52,41581
122	Koppelingpad 1	Overig	15/01/1941	Inslag van mijnbom. 5 woonschuiten getroffen, waarvan 1 geheel en 2 bijna geheel vernield. `Twee kinderen, die te bed lagen, geraakten te water en een zich in de nabijheid bevindende fietser werd gewond. Allen, evenals de moeder van de kinderen, werden naar een ziekenhuis overgebracht.`		POINT(4.900047 52.401866)	4,900047	52,401866
123	Dotterbloemstraat 2	Bom, granaat, afweergeschut	15/01/1941	Brandbommen. Geen schade		POINT(4.913267 52.398154)	4,913267	52,398154
124	Floraweg 4	Bom, granaat, afweergeschut	15/01/1941	8 brandbommen		POINT(4.919335 52.399526)	4,919335	52,399526
125	Floraweg 21	Bom, granaat, afweergeschut	15/01/1941	Brandbom. Slaapkamer op de tweede verdieping brandde uit. Brand kon spoedig worden geblust. Geen persoonlijke ongelukken.		POINT(4.916819 52.399884)	4,916819	52,399884
126	Hemweg 171	Overig	08/02/1941	Overvliegende kabelballon beschoten. `Volgens te 9.00 uur ontvangen mededeeling, blijkt deze ballon met den kabel vast te zitten aan den arbeidsdraad van de spoorwegen, waardoor het electrische spoorwegverkeer tusschen Zaandam en Amsterdam v.v. gestagneerd wordt. Duitsche militairen zullen den ballon neerschieten.`		POINT(4.825914 52.418318)	4,825914	52,418318
127	Johannes Verhulststraat 166	Overig	07/03/1941	Mitrailleurkogels of granaatsplinters. Ruiten vernield		POINT(4.868329 52.353585)	4,868329	52,353585
128	Dufaystraat 7	Omgevingsschade	07/03/1941			POINT(4.868195 52.353719)	4,868195	52,353719
129	Kinkerstraat 362	Bom, granaat, afweergeschut	07/03/1941	Granaatscherven. In verschillende woningen schade aan de ruiten. 2 personen licht gewond en 2 personen zeer licht gewond. `Bij navraag omtrent de reden van het vuren deelde de Luftschutzwarnzentrale mede dat er geen luchtgevaar was geweest, doch dat het hier een oefening betrof.`		POINT(4.861534 52.364673)	4,861534	52,364673
130	Levantkade 131	Bom, granaat, afweergeschut	12/04/1941	3 brisantbommen in het water		POINT(4.940446 52.37642)	4,940446	52,37642
131	Verbindingsdam 6	Bom, granaat, afweergeschut	12/04/1941	1 brisantbomGasbuis beschadigd 		POINT(4.938389 52.375082)	4,938389	52,375082
132	Verbindingsdam 10	Bom, granaat, afweergeschut	12/04/1941	1 brisantbom. Lichte schade		POINT(4.937559 52.375869)	4,937559	52,375869
133	Levantkade 6	Bom, granaat, afweergeschut	12/04/1941	1 brisantbom. Materi?le schade gering, wel veel vensterschade. Geen persoonlijke ongelukken.		POINT(4.937848 52.376302)	4,937848	52,376302
134	Molukkenstraat 102	Bom, granaat, afweergeschut	17/04/1941	Projectiel van het afweergeschut door het dak. `Dit is door de 3e ?tage naar de 2e ?tage geslagen en aldaar ontploft. Op de 3e ?tage geringe schade. Op de 2e ?tage tusschenmuur tusschen keuken en slaapkamer vernield. Moet vermoedelijk uitgebroken worden. Op de 1e ?tage eenige stukken doorgedrongen, waardoor het keukenplafond en aanrecht werden beschadigd.` 1 dode en 1 gewonde.		POINT(4.939689 52.361246)	4,939689	52,361246
135	Poppendammergouw 32	Bom, granaat, afweergeschut	13/06/1941	Brisantbom. Krater van 10 meter. `Geen gewonden, geen schade, geen vee getroffen.`		POINT(5.024255 52.419621)	5,024255	52,419621
136	Johannes van der Waalsstraat 107/hs	Omgevingsschade	30/06/1941			POINT(4.944081 52.353623)	4,944081	52,353623
137	Uitdammerdijk 38	Bom, granaat, afweergeschut	05/07/1941	3 brisantbommen ontploft. `Geen persoonlijke ongevallen. Geen schade aan dieren of woningen.`		POINT(5.054163 52.414523)	5,054163	52,414523
138	Poppendammergouw 36	Bom, granaat, afweergeschut	05/07/1941	1 brisantbom ontploft. `Geen persoonlijke ongevallen, geen schade aan dieren of woningen.`		POINT(5.024255 52.419621)	5,024255	52,419621
139	Hemweg 173	Bom, granaat, afweergeschut	08/07/1941	4 of 5 granaten. `een van de projectielen zou zijn ontploft de anderen niet`		POINT(4.8259 52.418264)	4,8259	52,418264
140	Zeeburgerdijk 633	Bom, granaat, afweergeschut	08/07/1941	Brisantbom van 40 ? 50 kg aangetroffen. 12.50 uur: `Deze is aan den waterkant 100 M. van het zwembad `Nieuw Diep` en 100 M. vanaf de sluis gedeponeerd. De omgeving is afgezet en het verkeer omgelegd.` 23.12 uur: `Vak XIV meldt dat de bom bovenvermeld een eigenaardig sissend geluid geeft, zoodat de posten tot ca. 250 M. teruggetrokken werden, en staketsels werden geplaatst. Het badhuis werd buiten gebruik gesteld. Bom zal 9 juli door Duitsche Weermacht verder worden behandeld.` Door de Duitse Weermacht op 9 juli tot ontploffing gebracht. Zeer lichte schade aan het wegdek. Geen gewonden		POINT(4.955318 52.366292)	4,955318	52,366292
141	Jacob Obrechtstraat 92	Bom, granaat, afweergeschut	10/07/1941	Granaat van het afweergeschut gevallen en geëxplodeerd. Gat in den grond van 1 meter doorsnee en een halve meter diep. `Van het ziekenhuis waren 15 ruitjes gesprongen, ook hadden eenige huizen van de Frans van Mierisstraat glasschade.`		POINT(4.877171 52.35303)	4,877171	52,35303
142	Roerstraat 125, 127, 129 en 131	Bom, granaat, afweergeschut	14/07/1941	Brisantbom. Gat in de straat. De huizen aan Roerstraat 125, 127, 129 en 131 werden onbewoonbaar. glasschade aan 20 panden, waaronder veel grote winkels, 5 lichtgewonden, 2 zeer lichtgewonden. `1 persoon kreeg een zenuwschok.`		POINT(4.895997 52.344248)	4,895997	52,344248
143	Frans Halsstraat 108	Overig	14/07/1941	Lichtkogel. Geen brand, geen schade, geen gewonden		POINT(4.888277 52.354749)	4,888277	52,354749
144	Von Zesenstraat 2	Bom, granaat, afweergeschut	14/07/1941	Brisantbom van 250 kg. Grote trechter in het wegdek. ook een waterleidingbuis getroffen. Schade aan huizen in de Von Zesenstraat. Schade ? waaronder veel glasschade ? aan de huizen Linnaeusstraat 3-11. glasschade en schade aan meubilair aan Mauritskade 84-88. `Een boom staande voor perceel Mauritskade 88 zoodanig beschadig dat deze moet worden geveld. De trambaan op de Mauritskade nabij het Koloniaal Instituut beschadigd. de werkdraad gebroken.` Glasschade aan de ingang van het Koloniaal Instituut en een café. [In totaal 17 lichtgewonden]		POINT(4.923985 52.363684)	4,923985	52,363684
145	Pieter Vlamingstraat 24	Bom, granaat, afweergeschut	14/07/1941	Brandbom. [In totaal 17 lichtgewonden]		POINT(4.924696 52.364442)	4,924696	52,364442
146	Plantage Doklaan 5	Bom, granaat, afweergeschut	14/07/1941	80 tot 100 brandbommen. `Douaneloods getroffen door een brandbom, veroorzaakte geen brand. vier geladen spoorwagons uitgebrand. de op dit terrein gelegen stallen en opslagplaatsen van de Fa. W.J. de Boer zijn geheel uitgebrand. Paarden en wagens gered.` `In Artis kregen de woningen van den tuinman en den timmerman, alsmede de werkplaatsen, de wagenstallen en het Nijlpaardenhuis belangrijke brandschade. Het dak van het Nijlpaardenhuis benevens het daaronder gelegen Skelettenmuseum werden geheel vernield.` 1 politieagent en 4 burgers licht gewond		POINT(4.911392 52.368793)	4,911392	52,368793
147	Sumatrakade 107	Bom, granaat, afweergeschut	14/07/1941	Brisantbom. Schade aan de loods. Geen gewonden.		POINT(4.934881 52.3778)	4,934881	52,3778
148	Sumatrakade 109	Bom, granaat, afweergeschut	14/07/1941	Bom geëxplodeerd.Schade aan het gebouw		POINT(4.934896 52.377792)	4,934896	52,377792
149	Osdorperweg 579	Vliegtuig(onderdeel) neergestort	29/07/1941	Noodlanding van een Duits vliegtuig. Geen persoonlijke ongelukken		POINT(4.782222 52.367979)	4,782222	52,367979
150	Eerste Helmersstraat 65	Bom, granaat, afweergeschut	13/08/1941	Een niet-ontploft projectiel kaliber 7,8 cm op het dak terechtgekomen en op de tweede verdieping blijven steken `Schade onbeteekenend`  Geen persoonlijke ongevallen		POINT(4.874456 52.363192)	4,874456	52,363192
151	Bilderdijkkade 9	Bom, granaat, afweergeschut	13/08/1941	Een blindganger van 7,8 cm op de straat gekomen. Geen schade en geen persoonlijke ongevallen		POINT(4.868837 52.370385)	4,868837	52,370385
152	Bilderdijkkade 32/boven	Bom, granaat, afweergeschut	13/08/1941	Een blindganger van 7,8 cm op het dak gekomen en op de tweede verdieping blijven steken. `Schade onbekend, waarschijnlijk gering.` Geen persoonlijke ongevallen		POINT(4.868436 52.369565)	4,868436	52,369565
153	Balthasar Floriszstraat 19	Bom, granaat, afweergeschut	13/08/1941	Blindganger binnengedrongen		POINT(4.884215 52.353177)	4,884215	52,353177
154	Churchill-laan 129	Bom, granaat, afweergeschut	15/08/1941	Noorder Amstellaan 129 Brisantbom. `Ten gevolge van de explosie stortte dit perceel gedeeltelijk in, waardoor 2 personen werden gedood, t.w. de Heer en Mevrouw Hoom, wonende N. Amstellaan 129 Hs.`		POINT(4.893754 52.346692)	4,893754	52,346692
155	Churchill-laan 187	Bom, granaat, afweergeschut	15/08/1941	Noorder Amstellaan 187 Brisantbom. `Een hoofdbuis van de gas- en de waterleiding werden vernield, waardoor de geheele omgeving onderliep.`		POINT(4.88907 52.346915)	4,88907	52,346915
156	Churchill-laan 191	Bom, granaat, afweergeschut	15/08/1941	4 brisantbommen. `In de omgeving liepen circa 200 perceelen, tezamen omvattende ongeveer 800 woningen zeer ernstige schade op aan ruiten, sponningen en deuren.`		POINT(4.888791 52.346932)	4,888791	52,346932
157	Rooseveltlaan 246	Bom, granaat, afweergeschut	15/08/1941	Zuider Amstellaan 246 Brandbom		POINT(4.894286 52.342353)	4,894286	52,342353
158	Rooseveltlaan 118	Bom, granaat, afweergeschut	15/08/1941	Zuider Amstellaan 118 Brandbom		POINT(4.898933 52.344161)	4,898933	52,344161
159	Uiterwaardenstraat 273	Bom, granaat, afweergeschut	15/08/1941	Brandbom		POINT(4.89591 52.341479)	4,89591	52,341479
160	Zoomstraat 10	Bom, granaat, afweergeschut	15/08/1941	Brandbom?		POINT(4.892275 52.343729)	4,892275	52,343729
161	Niersstraat 30	Bom, granaat, afweergeschut	15/08/1941	Brandbom?		POINT(4.893809 52.343043)	4,893809	52,343043
162	Niersstraat 43	Bom, granaat, afweergeschut	15/08/1941	Brandbom?		POINT(4.893476 52.34262)	4,893476	52,34262
163	Dintelstraat 116	Bom, granaat, afweergeschut	15/08/1941	Veel brandbommen op het wegdek  `waar zij uitbrandden zonder eenige schade aan te richten.`		POINT(4.894446 52.34248)	4,894446	52,34248
164	Zoomstraat 44	Bom, granaat, afweergeschut	15/08/1941	Niet-ontbrande brandbom?		POINT(4.892721 52.34321)	4,892721	52,34321
165	Dintelstraat 106	Bom, granaat, afweergeschut	15/08/1941	Niet-ontbrande brandbom?		POINT(4.893778 52.343151)	4,893778	52,343151
166	Osdorperweg 579	Bom, granaat, afweergeschut	29/08/1941	8 brisantbommen. Veel glasschade aan broeikassen en aan ruiten in woningen te Osdorp. Gen dooden en gewonden		POINT(4.782222 52.367979)	4,782222	52,367979
167	Koppelingpad 20	Bom, granaat, afweergeschut	13/10/1941	2 brisantbommen van ca. 250 kg gevallen en geëxplodeerd. Geen schade, geen persoonlijke ongelukken. 		POINT(4.903788 52.405045)	4,903788	52,405045
168	Borneokade 20	Bom, granaat, afweergeschut	17/10/1941	Brisantbom. Glasschade aan loods Q en de noodwoningen daar. Geen doden of gewonden		POINT(4.940582 52.370246)	4,940582	52,370246
169	Sloterweg 871	Vliegtuig(onderdeel) neergestort	24/10/1941	Noodlanding van een tweemotorig Duits vliegtuig. `Bemanning van vier personen ongedeerd, toestel beschadigd.`		POINT(4.813897 52.341524)	4,813897	52,341524
170	Papaverweg 35	Bom, granaat, afweergeschut	30/10/1941	Brand, vermoedelijk veroorzaakt door brandbommen. De brand woedde in een grote houten loods en in een hal met houten vliegtuigmodellen. Geen gewonden		POINT(4.905862 52.395383)	4,905862	52,395383
171	Van Diemenstraat 356	Overig	31/12/1941	`Duitsch valscherm van vlieger opgehaald uit Kleine Houthaven en gebracht naar Feldluftzeuggruppe Luftgau Holland.`		POINT(4.888335 52.390115)	4,888335	52,390115
172	Nieuwe Gouw 25	Overig	15/01/1942	Lichtkogel neergekomen 		POINT(4.975385 52.404623)	4,975385	52,404623
